Machine Learning Engineer/ Data Scientist,Dürr AG,"Noida, Uttar Pradesh",,30+ days ago,"This includes data processing, data exploration, ML model development & training as well as the deployment.Working in agile cross-functional teams in order to…",https://in.indeed.com//rc/clk?jk=510382ae5b99438e&fccid=5d2fbf160d66c9db&vjs=3
Research Data Scientist,Sequretek Pvt. Ltd.,"Mumbai, Maharashtra",,16 days ago,1-3 years of experience applying ML / Deep Learning algorithms and techniques to real-world data sets.What are we looking for? .What is it in for you? .,https://in.indeed.com//company/Sequretek-Pvt.-Ltd./jobs/Research-Data-Scientist-2abc794971f2795d?fccid=0994fec900da3acb&vjs=3
Data Scientist,Techlive,"Noida, Uttar Pradesh",,30+ days ago,Good Oral and Written Communication Skills.,https://in.indeed.com//rc/clk?jk=a1ea358f023a69b7&fccid=77cbddd85dccda76&vjs=3
Machine Learning Engineer/ Data Scientist,Dürr Somac GmbH,"Noida, Uttar Pradesh",,30+ days ago,"This includes data processing, data exploration, ML model development & training as well as the deployment.Working in agile cross-functional teams in order to…",https://in.indeed.com//rc/clk?jk=a8e20ca07f58cb0b&fccid=e67aeb114ba6220a&vjs=3
"Trainer-Data Science
new",Decodr Technology Pvt Ltd,Remote,"
₹1,000 an hour",5 days ago,Passionate about data and data-driven decision making.Deep expertise in writing and interpreting complex SQL queries for standard as well as ad-hoc data mining…,https://in.indeed.com//company/Decodr-Technology-Pvt-Ltd/jobs/Trainer-Data-Science-10646f979c53245e?fccid=895f6dee6ce6569f&vjs=3
"Data Scientist
new",Diverse Lynx India,"Gurgaon, Haryana",,1 day ago,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,https://in.indeed.com//rc/clk?jk=9a3b6ba316e9eb6c&fccid=f6ce40c91e89f80b&vjs=3
Data Scientist,Vistan NextGen Pvt Ltd,"Hyderabad, Telangana","
₹25,000 a month",30+ days ago,Ability to transform natural language data into useful features using NLP techniques to feed classification algorithms.Must have experience on OpenCV.,https://in.indeed.com//company/Vistan-NextGen-Pvt-Ltd/jobs/Data-Scientist-35f0eab1323761e6?fccid=647864de070941f8&vjs=3
Senior Data Scientist,Whitespace Health,"Hyderabad, Telangana","
₹8,00,000 - ₹16,00,000 a year",17 days ago,"Proven ability to work with large, complex data.We are hiring Senior Data Scientist for our WhiteSpace Health (A Healthcare Analytics Company) in Hyderabad…",https://in.indeed.com//company/Whitespace-Health/jobs/Senior-Data-Scientist-6b3dbe0c9fa10f75?fccid=24882083f364d82f&vjs=3
"Principal Data Scientist
new",Visteon Corporation,"Pune, Maharashtra",,1 day ago,Demonstrated skills and abilities as might be expected from a person with:Should have experience in the automotive industry regarding topics related to Camera…,https://in.indeed.com//rc/clk?jk=17026f0efdbd0852&fccid=687353658ec2a0cb&vjs=3
Computer Vision - Data Scientist,Arya.ai,"Mumbai, Maharashtra","
₹56,839 - ₹69,470 a month",15 days ago,Strong working knowledge of software architecture and data structure.Ability to develop large-scale systems working with image/video data.,https://in.indeed.com//company/Arya.ai/jobs/Computer-Vision-51d047337a341d98?fccid=bebd874aff6269e5&vjs=3
"Data Scientist
new",Business Brio,"Kolkata, West Bengal",,1 day ago,The candidate should have familiarity with data extraction and processing from different data sources.Minimum 18 months experience in machine learning/data…,https://in.indeed.com//rc/clk?jk=2e76e7d0bae73df2&fccid=e264b6608324091c&vjs=3
"Machine Learning Researcher
new",Graviton Research Capital LLP,"Gurgaon, Haryana",,Just posted,"Graviton trades across a multitude of asset classes and trading venues using a gamut of concepts and techniques ranging from time series analysis, filtering,…",https://in.indeed.com//rc/clk?jk=a2af6e37cee2d8f8&fccid=a14a8b9d7c0f8170&vjs=3
DATA SCIENTIST,Innefu Labs Pvt. Ltd.,"Delhi, Delhi",,30+ days ago,Keep up-to-date with latest technology trends.Work closely with Project/Business/Research teams for identifying the best model for a given problem.,https://in.indeed.com//rc/clk?jk=88cd8309fdd32344&fccid=5c36da9694f987a9&vjs=3
Data Scientist,Lomaa IT Solutions,"Vijayawada, Andhra Pradesh","
₹22,991 - ₹28,100 a month",30+ days ago,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,https://in.indeed.com//company/LOMAA-IT-SOLUTIONS/jobs/Data-Scientist-08b79748546975fa?fccid=720ec38b786d4021&vjs=3
Data Scientist Developer,Safaltek Software Pvt. Ltd.,"Mohali, Punjab","
₹1,75,000 - ₹4,75,600 a year",21 days ago,"Job Title: * Data Science Developer.Location: * Safaltek Software Pvt. Ltd. - Sec-67, Netsmartz Square, Mohali.Good with time complexity & Multithreading.",https://in.indeed.com//company/Safaltek-Software/jobs/Data-Scientist-Developer-e5c8453f6bbe0f85?fccid=7966aa8bd245f1bf&vjs=3
Data Scientist,Decimal Point Analytics,"Mumbai, Maharashtra",,8 days ago,Develop software solutions for internal and client use in the space of Machine Learning / AI.Develop best practices and espouse quality initiatives within the…,https://in.indeed.com//rc/clk?jk=057c118956309b30&fccid=382b1ba008d5d14a&vjs=3
Data Scientist,Bharat Light & Power,"Bengaluru, Karnataka",,30+ days ago,Experience with data analysis/Modelling.Strong Python skills for data wrangling / analysis / visualization / modeling.Highly skilled at Data Interpretation.,https://in.indeed.com//rc/clk?jk=d07d50d593b799b5&fccid=582fa9cbcecd5085&vjs=3
Data Scientist,Ganit,"Mumbai, Maharashtra",,30+ days ago,"Create and implement data models.Can handle data extraction, preparation and transformation.Location: Chennai, Mumbai, Bengaluru - India.",https://in.indeed.com//rc/clk?jk=f14ffc315714d8e5&fccid=a84170b5a8a8d5cc&vjs=3
"Data Scientist
new","JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",,Today,"Converts data to actionable insights, and leverages data visualization tools to effectively tell a story.Uses data analysis techniques to develop insights that…",https://in.indeed.com//rc/clk?jk=00a5ddd167354d2b&fccid=aaf3b433897ea465&vjs=3
"Jr. Data Scientist (Immediate Joiner)Mumbai
new",YORS HR Sevises Pvt Ltd,"Mumbai, Maharashtra","
₹40,863 - ₹49,944 a month",5 days ago,Data scientist: 3 years (Preferred).Use data visualization techniques to provide insights on large data sets.Job opening for Jr Data Scientist at Mumbai*.,https://in.indeed.com//company/Yors-HR-Services-Pvt.-Ltd./jobs/Junior-Data-Scientist-d826521429d4e820?fccid=2851a28bd3818e6a&vjs=3
"Data Scientist
new",ITSS RESEARCH & CONSULTANCY PRIVATE LIMITED,"Bengaluru, Karnataka",,1 day ago,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing.At least 2-3 years' of experience in quantitative analytics or data…",https://in.indeed.com//company/ITSS-research-and-consultancy/jobs/Data-Scientist-d508d43f48b4de71?fccid=bae45fc79939566d&vjs=3
Data Scientist,Axslogic,"Gurgaon, Haryana",,30+ days ago,Ability and experience handling both structured and unstructured data – including working with Hadoop data storage platform.,https://in.indeed.com//rc/clk?jk=ed1d63cab973e5bd&fccid=4b03f62c83ccd778&vjs=3
Data Scientist - Computer Vision NLP,Yash Technologies,"Indore, Madhya Pradesh",,30+ days ago,Min 3+ years of relevant experience in data analytics.Experience in developing minimum viable product related to data analytics.,https://in.indeed.com//rc/clk?jk=25e20a794b1f1d89&fccid=70f0a17f9a83bb19&vjs=3
Data Science Faculty,Baroda Institute of Technology,"Vadodara Sayajiganj, Gujarat","
₹40,000 - ₹45,000 a month",13 days ago,Urgent required Data Science Faculty in BIT - Baroda Institute of Technology.Who can teach practical concepts to collage students as well working…,https://in.indeed.com//company/Baroda-Institute-of-Technology/jobs/Data-Science-Faculty-3b09636a40ec7006?fccid=c37a031e3fb0e4ba&vjs=3
Data Scientist - Predictive Analytics,Yash Technologies,"Hyderabad, Telangana",,30+ days ago,Min 3+ years of relevant experience in data analytics.Experience in developing minimum viable product related to data analytics.,https://in.indeed.com//rc/clk?jk=cd0eec14b3f1f9da&fccid=70f0a17f9a83bb19&vjs=3
Senior Data Scientist,TEG Analytics,India,,22 days ago,"You will be part of a data science or cross-disciplinary team on commercially-facing development projects, typically involving large, complex data sets.",https://in.indeed.com//rc/clk?jk=4435d004b5610aee&fccid=da5d6356246e9f94&vjs=3
Data Scientist,Sentieo,"New Delhi, Delhi",,30+ days ago,"Comfortable with data visualization tools like pandas,seaborn and matplotlib.Enhancing data collection procedures to include information that is relevant for…",https://in.indeed.com//rc/clk?jk=d5e07c7563495a93&fccid=edf61cc3a19552f1&vjs=3
Data Scientist,Ank Aha,"New Delhi, Delhi",,30+ days ago,Ensure data integrity and consistency across relevant data systems.Support in providing data analytics for all data and technology related projects esp.,https://in.indeed.com//rc/clk?jk=46c05f5e4257bce1&fccid=bb06134d61a9b592&vjs=3
Machine Learning Internship,TestRight Nanosystems,"Delhi, Delhi","
₹10,000 a month",11 days ago,"How would you know if that jacket is genuine leather, or pick up the sweetest apples from the store?We are developing the world's first pocket molecular sensor…",https://in.indeed.com//rc/clk?jk=9cf3319d80626e37&fccid=e6efa265abd3df81&vjs=3
ML Engineer,Veditaventures,"Pune, Maharashtra","
₹20,000 - ₹50,000 a month",8 days ago,"O Programming Language: Python and libraries like Pandas, Numpy, Matplotlib, NLTK o Ability to handle various data types and structured as well as unstructured…",https://in.indeed.com//company/Vedita-Ventures/jobs/Ml-Engineer-4864bae1475c8450?fccid=653a71d84e62f864&vjs=3
"Data Scientist - Credit Portfolio - Bangalore, India",MPOWER Financing,"Bengaluru, Karnataka",,30+ days ago,"Advanced data modeling and data programming skills using large, complex data schemas.Completing exploratory data analyses of large sets of public, private, and…",https://in.indeed.com//rc/clk?jk=878723a07b16d1b7&fccid=5694fd5b90f664ea&vjs=3
Deep Learning Intern,Flixstock,"Gurgaon, Haryana",,30+ days ago,"Learning data visualization methodologies and understanding data augmentation techniques.Understanding of data structures, data modeling, and software…",https://in.indeed.com//rc/clk?jk=164db0a13b57c975&fccid=f37ef8239adaad5d&vjs=3
"Senior Data Scientist
new",Samaira HR Solutions,"Thane, Maharashtra","
₹20,00,000 - ₹30,00,000 a year",1 day ago,"Good expertise in data analytics, data cleansing and data enrichment.Experience with big data analytics and advanced machine learning to analyze data.",https://in.indeed.com//company/chmc/jobs/Senior-Data-Scientist-9449d7e70bf62cdc?fccid=a1165e2e07a0cc23&vjs=3
Data Science Intern,ACROBYTE TECHNOLOGIES,Remote,,30+ days ago,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing.Design accurate and scalable prediction algorithms.",https://in.indeed.com//rc/clk?jk=c132014623484a0d&fccid=8efaf8910fd521e4&vjs=3
Data Scientist,Multirecruit,"Bengaluru, Karnataka","
₹30,00,000 - ₹40,00,000 a year",23 days ago,"Strong in problem-solving, algorithms, and data structures.Hands on experience in technologies and tools related to any of NLP, Deep learning, Machine learning…",https://in.indeed.com//company/Multirecruit/jobs/Data-Scientist-2ec7305a9f78a193?fccid=b94c64777ff63d5e&vjs=3
Data Scientist,Cumulations Technologies,"Bengaluru, Karnataka",,30+ days ago,Build models and analyze medical data collected from healthcare devices and apps.Expose this data to mobile and web apps to build feature set.,https://in.indeed.com//rc/clk?jk=e5fd7e309ed23877&fccid=70f275b3b7e5b4a3&vjs=3
Data Scientist_TS,AppZen,"Pune, Maharashtra",,30+ days ago,With a team of highly skilled and motivated data scientists and machine learning engineers.Ensure data quality throughout all stages of acquisition and…,https://in.indeed.com//rc/clk?jk=84ed41fbb2765b96&fccid=232d2677a5ec1087&vjs=3
Fresher - Internship - Business Analytics / Data Analytics -...,Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","
₹3,60,000 - ₹5,90,000 a year",29 days ago,"Call / whatsapp Ketan - 9808811409 / Rashmi - 8755902532.Freshers will be trained on PYTHON, Data Science, Business Analytics, Machine Learning with Job…",https://in.indeed.com//rc/clk?jk=17f7d1031ccba24f&fccid=029a9fc434ec1c1f&vjs=3
NLP Data Scientist - Cuddle.ai,Fractal.ai,"Bengaluru, Karnataka",,15 days ago,"Incubated by Fractal, Cuddle's team comprises of Engineers, data-scientists & product designers based in US and India.To know more, visit http://www.cuddle.ai.",https://in.indeed.com//rc/clk?jk=17cf9990bcb68afd&fccid=adad512f93b8b92e&vjs=3
Junior Data Science Team Member,Imurgence,India,,30+ days ago,"Analyse data to help in better descision making.Experience with common data science toolkits, such as R desirable.Knowledge or experience of how APIs work.",https://in.indeed.com//rc/clk?jk=fce568ff8b4a9981&fccid=cd8492a732b8eb63&vjs=3
Data Scientist (1-3 yrs),Valiance Solutions,"Noida, Uttar Pradesh",,30+ days ago,"Drawing actionable recommendations from data for senior management.Data scientists who are good with knowledge of statistics & programming in R/Python,…",https://in.indeed.com//rc/clk?jk=23563e303d6fb375&fccid=aac3cf2de368e654&vjs=3
Jr. Data Scientist,xtLytics,"Noida, Uttar Pradesh",,30+ days ago,"Use strong business acumen, as well as an ability to communicate findings and mine vast amounts of data for useful insights.",https://in.indeed.com//rc/clk?jk=1e445c06f2f3d94b&fccid=0adc2b1bc1615df3&vjs=3
Data Scientist - GoMerchant,GO-JEK,"Bengaluru, Karnataka",,30+ days ago,"As a data scientist, you will work closely with the product managers, engineers, and business users to deliver scalable data science solutions - increasing the…",https://in.indeed.com//rc/clk?jk=0fd40f26c5de027e&fccid=35c79097c1f63f3d&vjs=3
Data Scientist,Netradyne,"Bengaluru, Karnataka",,30+ days ago,"Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data.Experience with data visualization and storytelling.",https://in.indeed.com//rc/clk?jk=ae43c6cbf52036cf&fccid=aee18a3dfecde702&vjs=3
Data Science Internship,Wasserstoff Private Limited,"Gurgaon, Haryana","
₹5,000 - ₹10,000 a month",14 days ago,"Crunch major forex data and create data models 2.Must be pursuing a bachelor's or equivalent degree in computer science, computer engineering, statistics,…",https://in.indeed.com//rc/clk?jk=4abcaea8342bc13b&fccid=7215963309e173c7&vjs=3
Data Scientist,Pivotchain Solution Technologies,"Pune, Maharashtra",,30+ days ago,"RequirementsBS/MS degree in Computer science, MathsYou are experienced with data stores such as Mysql, MongoDB, Cassandra, HBase, HiveExperienced with data…",https://in.indeed.com//rc/clk?jk=24506161036b82eb&fccid=4e27fc6a79fdd46c&vjs=3
Data Scientist,TCG Digital,India,,30+ days ago,"Core responsibilities include leveraging data science to solve business cases, training other team members, and contributing to pre-sales through quick…",https://in.indeed.com//rc/clk?jk=d991b80025991098&fccid=53cfe18ce8dd5f10&vjs=3
Senior Data Scientist,PLUTO 7,"Bengaluru, Karnataka",,30+ days ago,"Work experience in building data pipelines to ingest, cleanse and transform data.Good exposure in exploratory data analysis.Good in Python/R/SAS programming.",https://in.indeed.com//company/PLUTO-7/jobs/Senior-Data-Scientist-e873cdb717e17042?fccid=ef05ccafeb295638&vjs=3
Data Scientist,Zauba Corp,"Bengaluru, Karnataka",,30+ days ago,"Design and development of robust, scalable and highly efficient data engineering solutions for structured and unstructured data.",https://in.indeed.com//rc/clk?jk=25f000ccb8f0a046&fccid=e6def446f0013465&vjs=3
Associate-Data Science,Accenture,"Mumbai, Maharashtra",,9 days ago,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…",https://in.indeed.com//rc/clk?jk=c2e2d67eedea505e&fccid=a4e4e2eaf26690c9&vjs=3
Sr. Data Scientist,NetApp,"Bengaluru, Karnataka",,30+ days ago,"A master’s degree is data science, data analysis or statistics is preferred.5+ years of experience in data analysis and business insights.",https://in.indeed.com//rc/clk?jk=d5750b8489178960&fccid=77cec2f25f9bd7ed&vjs=3
Data Scientist,Fitfyles,"New Delhi, Delhi",,30+ days ago,"To perform data analyses on massive data sets, at scale.To manage the data demands of a company with a heart.If this sounds like you, please read on!",https://in.indeed.com//rc/clk?jk=8f8db206c9b1ca1c&fccid=28dd533740cf36da&vjs=3
Data Scientist (Risk Analytics & Modeling),LoanXpress,"Mumbai, Maharashtra",,18 days ago,Manage large loan level and borrower level data used for risk and learning models.Minimum 2 years of experience in implementing statistical/machine learning…,https://in.indeed.com//rc/clk?jk=55189707c1a5ec26&fccid=b6c4921dc41e0df5&vjs=3
DATA SCIENTIST /,HelloLeads,"Tiruchchirappalli, Tamil Nadu",,30+ days ago,"Exposure to ML concepts - Probabilistic Models, Supervised and Unsupervised Learning, Neural Networks & Deep learning, Ensembling.",https://in.indeed.com//rc/clk?jk=85539979e82cd3a6&fccid=2fb4b6f981bc7208&vjs=3
Data Analytics Internship,Accord Innovations Private Limited,"Delhi, Delhi","
₹2,000 a month",20 days ago,"Analytical and logical skills Knowledge or expertise in back-end and server, data extraction, and analysis methods, SQL query development, data transformation…",https://in.indeed.com//rc/clk?jk=88ccc68137a79813&fccid=30fdaeca489a6c14&vjs=3
Deep Learning Engineering Internship,Flux,"Bengaluru, Karnataka","
₹20,000 a month",8 days ago,"Working on the data pipeline, data acquisition, preprocessing, and analysis.We are developing modular self-driving technology for new and existing commercial…",https://in.indeed.com//rc/clk?jk=7c738f75f90f5322&fccid=5dfe1deea145b45b&vjs=3
Intern - Software Engineering - NLP/AI,Qwerty Thoughts Media Pvt Ltd,"Urban Estate Gurgaon, Haryana","
₹1,000 a month",12 days ago,"We at Qwerty Thoughts are reimagining the future of books and the publishing industry by applying advance Machine Learning, Artificial Intelligence (AI),…",https://in.indeed.com//company/Qwerty-Thoughts-Media-Pvt-Ltd/jobs/Intern-2306db330fbaca3d?fccid=a210e1cb8aa1f8df&vjs=3
Data Scientist Engineer,ANI Calls India Private Limited,"Noida, Uttar Pradesh","
₹9,00,000 - ₹16,00,000 a year",19 days ago,BI tools for data visualization like Tableau.5 years of professional experience in a data science.Experience extracting insights from large data sets using…,https://in.indeed.com//rc/clk?jk=c31e55c489df685e&fccid=3799fa8ac2d1edf2&vjs=3
Data Scientist,PayPal,"Bengaluru, Karnataka",,30+ days ago,"Build expertise in PayPal data sources to find, manage and simplify complex data.PayPal being a data-driven company, expertise in data analytics will help you…",https://in.indeed.com//cmp/Paypal
"Data science intern-1
new",PayPal,"Chennai, Tamil Nadu",,Today,"As a core participant of the analytics team, you will work in the areas of marketing spend optimisation, product performance, business dynamics and data…",https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AZUZ1SiG2e4Ouwn9d_PzaL9ycxqvROzmSyfHj86mtRPX8kMGne1k1CfHv2qCqybA_IHmC9FrPKpujY_t6KJ22sSU1QevpqVsnNIQbMUAaW7XSq9BT-cD4zbhzIZbBbLDH0QU7u1uttXFqCmv0STPUYKBM65WtX2oTcbTBZ41ZbhJWhCaNtR_ify72WTIO2sB4xQSzIOK2QhZKqObE3UL8s-t-iQhWHotOqtqMactCxRJt74-M9iqA0X1kazJtSlftHRPiuGnMH5OlswX40brPBLYw-uKVfpd3MN0-yAPbX_Zg5FBJO1NoeA9xokGZZGiL7F9JkCS84KNT17K3ltY3BhOa7M5L8-AE-NtGCtn8BkeOaIEYbRTg1BMWthDiQynY-LwN6KYx_mkeWGJsDSIfQg8ZtzBplrPe6xuJnRwfnqqXMvfSQc93u7_bJTtcBl6FbVDBNwCl4mg==&p=1&fvj=0&vjs=3
Manager Data Science,PayPal,"Chennai, Tamil Nadu",,30+ days ago,Design and implement data-driven systems that increase sales success.Design and implement data-driven systems that increase sales success.,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AZUZ1SiG2e4Ouwn9d_PzaL9ycxqvROzmSyfHj86mtRPX8kMGne1k1CfHv2qCqybA9ymtylFHYywapF9EVGaeblt1oPCaXh-kcB7Fh1KPpkApNBxfKuo41awsY8MJA6vIViknZkOSV1PlkcGE3DwtSEUoO1UQk8GsrX1AxSJADyaIjIf4KIHSecTa7eiUzmsz_lrFfpUg8SqDHk843lExpnocNvOmmZjq1uQV7souiu-Nvw3l-JFvXq8eRRW0FuZHj8PQtfq1NiU2chPBCVIzULxIRWRr0aUHbwW0J-IzC3UiWVVbCV5gg_MURq-btMCx0OPdTBrqRrGtO_o92TqViDQbM8MMqcQmbQun0r8ApcKqwaa26eztyIQsCUYryNiBfwU5ePQOhsQlTm1z1_NfIrkkmnXqnQi6zX2t-xdQXXvVlq1akoNqexTuMqcYvZzdLvhYBYVbpgew==&p=2&fvj=0&vjs=3
Data Science Intern,ACROBYTE TECHNOLOGIES,Remote,,30+ days ago,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing.Design accurate and scalable prediction algorithms.",https://in.indeed.com//rc/clk?jk=c132014623484a0d&fccid=8efaf8910fd521e4&vjs=3
Data Scientist,Multirecruit,"Bengaluru, Karnataka","
₹30,00,000 - ₹40,00,000 a year",23 days ago,"Strong in problem-solving, algorithms, and data structures.Hands on experience in technologies and tools related to any of NLP, Deep learning, Machine learning…",https://in.indeed.com//company/Multirecruit/jobs/Data-Scientist-2ec7305a9f78a193?fccid=b94c64777ff63d5e&vjs=3
Data Scientist,Cumulations Technologies,"Bengaluru, Karnataka",,30+ days ago,Build models and analyze medical data collected from healthcare devices and apps.Expose this data to mobile and web apps to build feature set.,https://in.indeed.com//rc/clk?jk=e5fd7e309ed23877&fccid=70f275b3b7e5b4a3&vjs=3
Data Scientist_TS,AppZen,"Pune, Maharashtra",,30+ days ago,With a team of highly skilled and motivated data scientists and machine learning engineers.Ensure data quality throughout all stages of acquisition and…,https://in.indeed.com//rc/clk?jk=84ed41fbb2765b96&fccid=232d2677a5ec1087&vjs=3
Fresher - Internship - Business Analytics / Data Analytics -...,Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","
₹3,60,000 - ₹5,90,000 a year",29 days ago,"Call / whatsapp Ketan - 9808811409 / Rashmi - 8755902532.Freshers will be trained on PYTHON, Data Science, Business Analytics, Machine Learning with Job…",https://in.indeed.com//rc/clk?jk=17f7d1031ccba24f&fccid=029a9fc434ec1c1f&vjs=3
NLP Data Scientist - Cuddle.ai,Fractal.ai,"Bengaluru, Karnataka",,15 days ago,"Incubated by Fractal, Cuddle's team comprises of Engineers, data-scientists & product designers based in US and India.To know more, visit http://www.cuddle.ai.",https://in.indeed.com//rc/clk?jk=17cf9990bcb68afd&fccid=adad512f93b8b92e&vjs=3
Junior Data Science Team Member,Imurgence,India,,30+ days ago,"Analyse data to help in better descision making.Experience with common data science toolkits, such as R desirable.Knowledge or experience of how APIs work.",https://in.indeed.com//rc/clk?jk=fce568ff8b4a9981&fccid=cd8492a732b8eb63&vjs=3
