Job_position,Company,Location,Salary,requirements
Python Backend Developer - Remote India,Vamstar,"Delhi, Delhi","7,00,901 - 10,00,000 a year",The ability to work to project deadlines efficiently and with minimum guidance.Vamstar is a data science powered B2B healthcare marketplace that helps…
Node js developer,Aapna Infotech Private Limited,"Delhi, Delhi","6,00,000 - 10,00,000 a year",Produce high-quality code and experience with security implementations Identifying application security risks and Implementing security patches procedures.
Web Developer,Arena Animation,"Pune, Maharashtra","8,086 - 33,818 a month", Maintains continual awareness of new media applications and principles and applies those applications and principles to current and new projects.
Front End Developer,Guzzbury Limited,"New Delhi, Delhi","15,000 - 30,000 a month",We are seeking an enthusiastic Front End Web Developer who has the ability to work as part of a team and on their own initiative delivering high quality work.
Virtual/Augmented Reality - Software Developer,Infinitevl Technologies Ltd.,"Manipala, Karnataka",-999,Collaborating with other developers and clients to evaluate project needs and come up with clever solutions.Work on creating experiences using devices like HTC…
Freelance Web Developer,GMV YOGA PVT LTD,"Faridabad, Haryana","15,000 - 25,000 a month",We are looking for a skilled Web Developer who will be responsible for developing websites and applications for our clients . Proficient in My SQL.
Front End Developer,Peppy Prints Private Limited,"Jaipur, Rajasthan","4,00,000 a year","You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining…"
Website Developer,House Of Candy (Samkan Products Pvt. Ltd.),"Delhi, Delhi","25,000 - 30,000 a month","Write well designed, testable, efficient code by using best software development practices.Create website layout/user interface by using standard HTML/CSS…"
Core Java Developer,CONSIGN SPACE SOLUTIONS LLC,"Noida, Uttar Pradesh","11,00,000 a year","Interested candidates with relevant experience, please share your resume on Whatsapp 8239059462.Urgently Looking For Sr. Java Developer For Noida Location."
Software Developer,Diptimate Consultants Private Limited,"Lucknow, Uttar Pradesh","10,000 - 50,000 a month","Salary: ₹10,000.00 - ₹50,000.00 per month.Total work: 1 year (Preferred).Asp.Net mvc: 1 year (Preferred)."
ASP .Net Developer,AceNet,"Delhi, Delhi",-999,Experience: 2 to 4 years.Joining: Candidate who may join us immediately or should be able to join within 15 days (Please.
Software Developer,KENZO.CO.IN,"Kompally, Hyderabad, Telangana","25,000 - 35,000 a month",Proficiency in developing PWAs with Angular (minimum version 5) using Typescript & Sass.Total work: 3 years (Required).Application Deadline: 4/1/2021.
Ionic Developer,SDS Softpro Private Limited,"Noida, Uttar Pradesh","2,74,826 - 10,95,875 a year","Design and build Hybrid applications using Ionic Framework.A developer has expertise in IOS, Android, HTML5, CSS3, and other mobile frameworks/accelerators."
Zoho Software Developer,Techaffinity Consulting Pvt.Ltd.,"Bengaluru, Karnataka","3,00,000 - 6,00,000 a year",Work independently for a large portion of the work with ample guidance from the project leads and is also able to communicate effectively in an offline working…
Software Engineer - .Net developer,legatohealth.com,India,-999,"Looking for candidate with good knowledge on below skills:NET ,C#,MVC framework development experience with SQL(Must)."
Software Developer,Revive Analytics,"Bhopal, Madhya Pradesh",-999,"Prior experience in designing web applications, enterprise software, etc.We are looking for software professionals in latest technologies – Java, Python,…"
Software Development Internship,FCI CCM Incorporation,"Delhi, Delhi","15,000 a month","FCI provides customer communication management solutions and services to help organizations meet their business goals, support regulatory compliance, and drive…"
Software Developer,Rayabhari Technologies Private Limited,"Bengaluru, Karnataka",-999,"Rayabhari Technology is looking for Software developer.Skills : React JS, Node JS, REST API , RDBMS concepts.We are looking for immediate joiner."
Software Developer,Saviant Technology Consulting,"Pune, Maharashtra","3,00,000 - 4,50,000 a year",Solution Engineer in Saviant helps our customers develop enterprise applications with different business domain using the most advanced Microsoft technology…
Software Developer,ST. JOSEPH GROUP OF INSTITUTION,"Guwahati, Assam","10,000 a month","INCREMENT AFTER 3 MONTHS BASED ON PERFORMANCE.HTML,CSS,SQL/MYSQL,PSP/PYTHON.MUST HAVE SOUND KNOWLEDGE IN THE GIVEN FIELDS.Job Types: Full-time, Fresher."
Software Engineering,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",-999,"Your deep knowledge of design, analytics, development, coding, testing and application programming will help your team raise their game, meeting your standards,…"
Software Developer,Loanwalle.com,"New Delhi, Delhi","2,10,373 - 8,41,860 a year",3-5 years of experience developing and implementing software applications.Experience developing secure software systems based upon industry specifications.
Software Developer,Sky niche technologies,"Kochi, Kerala","15,000 - 40,000 a month","Looking for experienced Software developers for a Well established software company.Knowledge of any technology like Java Script, J Query, MY SQL, HTML, Mongo…"
Software Developer (PL-11),Siemens Healthcare Private Limited,"Bengaluru, Karnataka",-999,"Roles and Responsibilities - Software design & Development.Skill -C++, Data Structure, oops concepts, Windows OS, Good communication skills."
Software Engineer,GeoOpsis Software Services Private Limited,"Bengaluru, Karnataka","3,43,340 - 15,27,639 a year","Experience or understanding of software systems design tools and languages.Execute software development in C#, Java, JavaScript or other selected languages."
Software Developer,BRIWO Solutions Pvt Ltd,"Noida, Uttar Pradesh","4,00,000 - 10,00,000 a year",Exp. required- 3 to 8 Years.Total work: 3 years (Preferred).Maximo development: 3 years (Preferred).BRIWO is hiring Maximo developers for Contract/Full time…
Software Engineer - Developer Productivity,Postman,"Bengaluru, Karnataka",-999,You have strong product and design sensibilities and an obsessive attention to detail.We build the common infrastructure and tooling that product teams use to…
Android Developer,Mobiloitte,"New Delhi, Delhi","13,258 - 46,469 a month",Familiarity with RESTful APIs to connect Android applications to back-end services..Experience releasing an Android app to the Play Store.*.
Xamarin Developer - Immediate Joiner,Mobiloitte Technologies,"New Delhi, Delhi","28,086 - 65,265 a month","Prepares reports, manuals and other documentation on the status, operation and maintenance of the application.2+ years’ experience using Xamarin."
Software Engineer,Foodie Technologies Inc,"Bengaluru, Karnataka","1,40,000 - 2,75,000 a year",Our vision is to enable a restaurant selection experience that wows customers with its simplicity and convenience and creates long term highly engaged users…
Senior Java/J2EE Developer - Spring/Hibernate,Liberin Technologies,"Delhi, Delhi","5,00,000 - 13,00,000 a year",Prepare the technical design of complex technology components as well as suggest the pros and cons of using a certain technology stack or component or design…
Software Developer Tech,Crowe,"Noida, Uttar Pradesh",-999,"Team members share expertise across various industries, targeting manufacturing and distribution, government, healthcare, financial services, and private equity…"
Web Developer (Trainee),CodeRope,"Lucknow, Uttar Pradesh","15,000 a month","Quick learner with a great attitude and should be willing to learn new technology Basic Knowledge in HTML, Javascript, CSS, Php, Angular*."
Associate Developer - Software Engineering,UST Global,"Thiruvananthapuram, Kerala",-999,(3) Adhere to the coding standards and all policies and procedures identified for the project specified by the client / UST Global.
Core Java_Assistant Application Developer,Fujitsu,"Pune, Maharashtra",-999,[ Java ] - Must have good Web Application Development experience in Java - Development experience in any framework like Spring MVC or Struts - Good knowledge in…
Backend Developer,Krenai Services Pvt. Ltd.,"Gurgaon, Haryana","15,000 - 20,000 a month",What we are looking for: A candidate with hands-on experience in designing and developing applications using JAVA platforms and object oriented analysis and…
Web Developer,Online Front,"Delhi, Delhi","10,000 - 30,000 a month",A web developer or programmer is someone who takes a web design - which has been created by either a client or a design team - and turns it into a website.
Website Developer,Bizfilla Venture,"Patper Ganj, Delhi","7,000 - 20,000 a month",Kartfilla is a division of Bizfilla Venture. which deals into offshore project and software development.Our Web Development team is highly experienced and…
UiPath / Blue Prism Developer | 2 to 4 years | Bengaluru & N...,Capgemini,"Bengaluru, Karnataka",-999,"Should have excellent programming/software development background.Python, R, Perl, Linux Scrip, UNIX Shell Scrip, Windows PowerShell, Microsoft Bot, Google…"
Full Stack Developer,Tech Robo Solutions,"Pune, Maharashtra","12,00,000 a year","Working as part of a team, encourage innovation & best practices.Knowledge and understanding of Backend and Frontend technologies."
Software Engineer Backend,Samaira HR Solutions,"Delhi, Delhi","30,00,000 a year","As we move ahead in scaling our applications and systems, we are looking for someone with experience in developing backend systems end to end."
Software Developer (Fresher),Helm Infosystem,"Mohali, Punjab","10,000 - 20,000 a month",We are looking for software developers who love challenges technically.P.S : Please apply if you comfortable to come for face to face interview.
Software Developer,Varuna Integrated Logistics,"Gurgaon, Haryana",-999,"Field specialization: Computer and information Sciences and Support services, Information Technology.Degree: Bachelor of Technology - BTech, Master of Computer…"
Software QA Engineer - Manual Testing,Imperial IT Pvt Ltd,"Noida, Uttar Pradesh","3,00,000 a year",1+ years of proven work experience in software quality assurance.We are looking for a QA Engineer – (Manual Testing) to develop and execute exploratory and…
Web Designer & Developer,KDataScience Solutions Private Limited,"Gurgaon, Haryana","15,000 - 20,000 a month",Develop UI/ UX for web portal/ applications.We are looking for a UI/ UX (Web Designer) resource with relevant experience in Web Development team.
Java Developer/ Software Engineer (Backend),Actas Technologies PVT. Ltd,"Noida, Uttar Pradesh","3,00,000 - 10,00,000 a year",You will be responsible for scaling the business processes to meet future business growth through automation and workflows.Exp - 2-6 years of Java.
Software Developer,Acespritech Solutions Pvt. Ltd,"Gandhinagar, Gujarat",-999,We are seeking a software developer to join our team and work with us on the systems that support our company.You are our perfect candidate if you:
Android Developer,Ezeiatech Systems Pvt Ltd,"Gurgaon, Haryana",-999,This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.
Web Designer & Developer,AM Square Global Technologies Pvt LTD,"Gurgaon Road, Delhi","10,000 - 25,000 a month","Submit periodic reporting, regular meetings; responsible for project tracking and an effective issue resolution process.Keen to learn new technologies."
Junior .NET Software Engineers,Telerad Tech,"Bengaluru, Karnataka",-999,"Education Qualification: B-Tech, BCA, MCA."
HTML Developer,Sirez,"Naraina Vihar, Delhi",-999,"To design and develop high quality websites / applications as a front-end developer and designer.Required a hands on experience in front - end development,…"
Software Developer,Appsoleut Coders LLP,"Delhi, Delhi","30,00,000 a year","Design and develop games on the Unity platform, as per design document and given specifications (character or vehicle control, AI, game GUI, scoring and other…"
Software Engineer,industrial equipment suppliers,"Manesar, Haryana","25,000 - 50,000 a month","Fresher Software Engineer on urgent basis.Must have good knowledge of C#.Salary: ₹25,000.00 - ₹50,000.00 per month.Total work: 1 year (Required)."
Web Developer,Mamma Marketing,"Delhi, Delhi","800 - 1,700 a day","We hope to find someone who can potentially manage the other web developers and also app developers.Once pages are complete on mobile, desktop, tablet; move…"
Dot Net Developer,Netbiz Infotech Pvt Ltd,"Delhi, Delhi","30,000 a month","We have an urgent requirement of Dot Net Developer.Skills Required- Asp.net, MS SQL Server, Jquery, C#.Experience- 6 months - 2 years."
Full Stack MERN JavaScript developer,WebManufact,"Bengaluru, Karnataka","5,00,000 - 10,00,000 a year",Apply your expertise to build great e-commerce and logistics web & mobile applications.Experience in design and developing large Applications.
Game Developer,Comely Enterprise Private Limited,"Delhi, Delhi","2,00,000 - 4,00,000 a year",Candidate should be able to Implement game functionality as per the communicated design and Translate design specifications into a functional game.
Noida - Software Developer,eMDs,"Gautam Budh Nagar, Uttar Pradesh",-999,"Create, test and validate application code based on provided requirements and documentation.Ability to create and maintain unit tests, code comments and…"
Software Developer,Nest Software,Punjab,-999,Software Developer’s will be to work with our Senior Developers to develop desktop and web based applications for our international clients.
Full Stack Developer,AutoFlipz,"Gurgaon, Haryana","8,50,000 - 11,00,000 a year","Provide top-quality leadership and hold ultimate accountability for all scrum teams within product development hardware, IOT software, Dev Ops, System…"
JUNIOR BACKEND DEVELOPER,Knowledge Excel Services.,"Delhi, Delhi",-999,Degree in Computer Science or related field.A good knowledge of backend programming language PHP Core.Proficiency with HTML & CSS are good to have.
UiPath Developer | 2 to 4 years | Bengaluru & Noida,Capgemini,"Bengaluru, Karnataka",-999,"Should have excellent programming/software development background.Python, R, Perl, Linux Scrip, UNIX Shell Scrip, Windows PowerShell, Microsoft Bot, Google…"
"Senior Software Developer, ASP,Net,AngularJS",KALARI INFOTECH PVT LTD,"Noida, Uttar Pradesh","2,95,676 - 12,41,062 a year",At least 2 years of experience in developing applications using Angular and ASP.Experience in all aspects of the software lifecycle - Agile and Waterfall.
Software Developer,Cipher Research Private Limited,"Delhi, Delhi","15,00,000 a year","Build, optimize, and maintain an easy-to-use, powerful web application.Work closely with the technical consultant, designers, other developers."
Software Development Engineer,Mentor Graphics (India) Private Limited,"Noida, Uttar Pradesh",-999,"Provides specialized expertise within multiple systems, software disciplines, as well as general knowledge of related disciplines, applications implications,…"
Software Developer,Underwriters Laboratories Inc.,"Bengaluru, Karnataka",-999,Assists with formulating and defining specifications for software programming applications and modifies existing applications.What makes you a great fit::
Software Developer,Abyeti Technologies Pvt. Ltd,"Bengaluru, Karnataka","4,00,000 - 6,00,000 a year","Engineers who consider learning new technologies, code bases and building cool features in a rapid time-frame as fun.Application Deadline: 22/12/2020."
Software Engineer - MED,Mentor Graphics (India) Private Limited,"Noida, Uttar Pradesh",-999,Responsible for ensuring the overall functional quality of the released product on all required platforms and mechanism.
Software Engineering- Python Developer,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",-999,"The role will require liaising with business (Corporate Controllers) and technology counterparts in all lines of Business across the globe during Requirements,…"
C++ Developer,ABI Technologies,"Bengaluru, Karnataka","15,000 - 25,000 a month",We are Looking for Freshers having very good skill on C++ (C++ 11/ C++14) able to build applications that may range from desktop applications to embedded…
Laravel Developer Required,Zicfy dot com,"Nagar, Rajasthan","10,000 a month","Dear it's zicfy.com ,we want laravel developer, js etc who have good knowledge about above filled with website management system like Cpanel .plz contact."
Software Developer - Dotnet,Restolabs,"Noida, Uttar Pradesh","40,000 - 60,000 a month","We are looking for a Dot Net developer to build applications using languages and technologies of the .Your goal will be to work with internal teams to design,…"
Net Developer | Application Developer,AlpsLogic IT Solutions,"Gandhinagar, Gujarat",-999,"Angular | jQuery | *WCF| WEB API | CSS | BOOTSTRAP | SQL SERVER | SSIS | SSRS.FRESHER ARE WELCOME TO JOIN AS TRAINEE.*.Job Types: Full-time, Fresher."
Web Designer & Developer,MJOBS,"Trichur, Kerala","20,000 - 30,000 a month","Vacancies for Experienced Web designers and programers, also need freelance Android app developer with 1 year experience."
Senior Web Developer,DIGITALAPSS INDIA,"Delhi, Delhi","40,000 a month","Can design website layout/user interface by using standard HTML/CSS practices.Can write well organized, testable, efficient code by using best software…"
Software Developer,Vianet Media Pvt Ltd.,"Shahdara, Delhi, Delhi","25,000 - 30,000 a month",Aid and support the coaching and training of other team members to ensure all employees are confident in the use of software applications.
Junior Software Engineer,megna super It solutions private limited,"Madhapur, Hyderabad, Telangana","10,000 - 15,000 a month","We are looking for Jr. Software Engineers-Hyderabad.Year of Pass-out: 2013-2020.Salary: ₹10,000.00 - ₹15,000.00 per month."
Front End Developer,Muoro,"Gurgaon, Haryana","50,000 - 90,000 a month","Front end development: 4 years (Preferred).Angular5+, Javascript , HTML , CSS , Bootstrap , DS and Algo, Proficient understanding of code versioning tools,…"
Computer Hardware & Software Engineer,Promotional Club,"New Delhi, Delhi","20,000 - 30,000 a month","Candidate who have good knowledge of all computer applications like word/excel/email/interment browsing etc.Salary: ₹20,000.00 - ₹30,000.00 per month."
Game Developer Intern,Comely Enterprise Private Limited,"Delhi, Delhi","8,000 a month","Develop games by using game design software like Unity/Unreal engine/game maker studio.Write code in Java, C+, C++, Python, Swift, JavaScript, or other…"
Ionic-4 Developer,Rwebsys Technologies Pvt Ltd,"New Delhi, Delhi","6,00,000 - 12,00,000 a year",3+ years experience developing applications software.Design and develop scalable IONIC applications using open source technologies.
Software Developer,Sapna Manish Sharma (Proprietor Of JBM India),"Jaipur, Rajasthan","3,80,000 a year","Urgent Looking For Software Developer.This is a remote position, and the candidate(s) need to have a personal laptop with good internet connectivity."
Trainee Software Engineers - .NET/ReactJS (Freshers - Goa),Teknorix Systems,"Verna, Goa",-999,We derive pleasure in solving real-life problems with our technology expertise and consider every challenge we face as an opportunity to do something…
Sr. Android Developer,YES IT Labs,"Noida, Uttar Pradesh","45,000 a month","Collaborate with cross-functional teams to define, design, and ship new features.Android Application Development: 3 years (Required)."
Web Developer and seo developer,Ready Holo,"Delhi, Delhi","5,000 - 20,000 a month",3 years of: 1 year (Required).We are hiring an SEO & WEB Developer for our company.We are hiring For Seo & Web Developer For Our Company.
Embedded Software Developer,Symbion Solutions,India,-999,"Qualification: Graduates / PG in Computers / Electronics Engineering.Knowledge in Real-time operating Systems, Micro Controllers, Micro Processors, Networking,…"
Software Engineer - Frontend,Star Salons Pvt.Ltd.,"Delhi, Delhi","35,000 - 80,000 a month","Participate in all aspects of agile software development including design, implementation, and deployment.Work closely with UX designers, project managers and…"
Software Developer,SKC Management Consultancy Private Limited,"Delhi, Delhi","5,40,000 a year","OThe sole objective to hire SOFTWARE DEVELOPER is to develop IN HOUSE , an end-to-end Recruitment Software / Applicant tracking system (ATS) and sourcing and…"
PHP Developer,MoMagic Technologies Pvt. Ltd.,"Noida, Uttar Pradesh","30,000 a month","We are hiring for PHP developer!!!Software development: 1 year (Preferred).Jquery ,Javascript ,HTML ,CSS, Database design and development ,Any Framework."
PHP Developer/ Software Developer,Human Forte,"Pune, Maharashtra",-999,"Develop, record and maintain cutting edge web-based PHP applications.Coordinate with co-developers and keeps project manager well informed of."
Software Developer,edsglobal,"New Delhi, Delhi",-999,"Manage project and interface with clients and teams.The candidate must possess excellent speaking, writing and personal skills."
Web designer/developer + Overall Digital Marketing Support,AOG-JC,"New Delhi, Delhi",70 - 210 an hour,Web design/developement: 3 years (Required).We find the client (small/medium) needs some extra support in business management/marketing/operation/ cost savings…
Developer - Intern,SISA Information Security Pvt Ltd,"Bengaluru, Karnataka","12,500 - 13,000 a month","Our 200 employees include information security specialists, technology experts, sales strategists and backbone staff.Software development: 1 year (Preferred)."
Software Computer Engineer For Freshers,Associate Software Engineer,"Delhi, Delhi","18,000 - 25,000 a month","You will partner with researchers, interaction visual designers, and other software engineers to help define and deliver new cloud based workflows, test new…"
Jr. Front End Developer,SJ INNOVATION,Goa,-999,"Work closely with both the front end and back-end teams.Candidates with hands-on experience with Email development preferred.Knowledge of HTML/HTML5,CSS/CSS3."
Software Engineer,Decorus Telecommunication,"New Delhi, Delhi","45,000 a month",Company Name- DECORUS TELECOMMUNICATION PRIVATE LIMITED.Interview: Direct line up 6 pm onwards.Inbound US Technical Sales Process*.Salary 7th of the month.
C++ Developer,WSD Consultant,"Noida, Uttar Pradesh","2,00,000 - 7,50,000 a year",The selected candidate would be engaged in developing the Oil & Gas based application using “C++” technology & graphics libraries.
Magento Developer,DMCS INDIA PRIVATE LIMITED,"Noida, Uttar Pradesh","20,000 - 40,000 a month",Developing Magento modules in PHP using best practices.Meeting with the design team to discuss the needs of the company.Coding of the Magento templates.
Informatica Developer,Larsen & Toubro Infotech Limited,India,-999,4 years of experience with Informatica PowerCenter 3 years of experience with Informatica Data Quality 3 Years of experience with Informatica PowerExchange …
Python_Application Developer,Fujitsu,"Pune, Maharashtra",-999,"Knowledge of WEB, AWS Mediaservice, cloud native applications.Good understanding of development practices.Experience in video domain is desirable."
"Software Developer (C,C++,System & Network Development)",S-Logix (OPC) Private Limited,"Chennai, Tamil Nadu","14,800 a month",Information and Communication Technology is the engine of the digital revolution and contributes significantly to the emergence of new business models and…
Sr. Software Developer,Accure AI,"Bengaluru, Karnataka","10,00,000 a year","Working experience in Integration with enterprise applications using Web service, KAFKA, ELASTIC Search and REST API.Software Engineering: 3 years (Required)."
Associate Software Analyst,IQVIA,"Bengaluru, Karnataka",-999,"Code may be used in commercial or end-user applications, such as desktop applications, mobile apps, financial management, or HRIS products."
Software Developer freshers,Radical Technologies,India,-999,The ability to communicate complex procedures to other colleagues.The ability to learn new technologies quickly An analytical mind.Published on: 06/07/2020.
"Asp.NET Developer for Pune, Hinjewadi office",iT Gurus Software,"Pune, Maharashtra","1,50,000 - 5,00,000 a year",".NET developer with 6 months to 4 years experience (ASP .Years of Experience : 0.5 Yrs - 4 Yrs.NET,MVC, C#, jQuery, Microsoft SQL server)."
Front End Developer,Larsen & Toubro Infotech Limited,India,-999,"Good knowledge of OOP and common design patterns.Creative problem solver, you have attention to details and the ability to quickly pick up new technologies and…"
Software Developer,DHUNI STUDIOS LLP,"Pune, Maharashtra","10,000 - 25,000 a month","E) who knows basics of software development.Responsible for Researching, designing, implementing and managing software programs , Testing and evaluating new…"
Software Developer - Java,Regnant Technologies,"New Delhi, Delhi",-999,"Experience : 3 months to 2 years.We are looking for talented and energetic people, who can work with passion, dedication and integrity."
Software Developer,NTT DATA Services,"Bengaluru, Karnataka",-999,"NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting,…"
Software Engineer,Orange,India,-999,Manage the software code using version control softwares.Analysis of defects and new requests.Develop/maintain code on CX/UX.
Frontend Developer,Redian Software,"Noida, Uttar Pradesh","9,00,000 a year","Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image.Upto INR 900000 Per Year."
Software Developer,Skiify Solutions,"New Delhi, Delhi",-999,"Job Description: As a software developer we require candidates to develop code using programming skills, specifications, high level design documents and…"
Python/Django Developer,Velikotech Solutions Pvt Ltd,"Thiruvananthapuram, Kerala","40,000 a month",Familiarity with front-end technologies (like JavaScript and HTML5).Freshers must have done any course in python.0 to 5 yrs of experience required.
Full Stack Developer,FBIV Infocomm Pvt Ltd (VFAST),"Krishna Nagar, Delhi, Delhi","10,000 - 30,000 a month","Job Profile- Full-Stack Developer.ASP. NET, HTML5, CSS, JavaScript, jQuery, React-JS, React-Native, Mongo dB, AWS.Required experience- 1-2 Years."
Android Developer,Client of EMPOWER HR,"Bengaluru, Karnataka","8,00,000 - 18,00,000 a year","Design, build, and maintain high performance, reusable, and reliable code Build new features & align them with product-requirements Build new features &…"
